"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Fmo1",5.39482259695289e-35,0.527398202893417,0.354,0.017,7.67629307320426e-31,7,"Fmo1"
"Dab2",9.47509952868867e-35,0.597464960623407,0.417,0.026,1.34821191193711e-30,7,"Dab2"
"Col8a1",1.27021672267768e-34,1.01373356665666,0.271,0.007,1.80739137469807e-30,7,"Col8a1"
"Pygl",2.36299231414927e-34,0.44231759777345,0.292,0.01,3.36230176380299e-30,7,"Pygl"
"Jam3",1.51925059864142e-33,0.508612628784698,0.375,0.021,2.16174167680688e-29,7,"Jam3"
"P4ha1",2.00403535827521e-33,0.889032451728784,0.562,0.063,2.8515419112898e-29,7,"P4ha1"
"Sdc2",2.78646205679925e-33,1.6285975778783,0.771,0.154,3.96485686061965e-29,7,"Sdc2"
"Maob",4.78987826906469e-33,0.358941054657886,0.25,0.006,6.81551778905215e-29,7,"Maob"
"Dpysl3.1",5.91185740754341e-33,1.16900151539432,0.646,0.089,8.41198190519351e-29,7,"Dpysl3"
"Tuba1a.6",8.38397048835102e-33,1.93527916547685,0.938,0.246,1.19295516078747e-28,7,"Tuba1a"
"Cmklr1",1.00284874093947e-32,0.619953003248238,0.292,0.011,1.42695347348277e-28,7,"Cmklr1"
"Gaa",1.08661399838257e-32,1.11754460975971,0.875,0.181,1.54614305829856e-28,7,"Gaa"
"Plekha4",1.17712573575347e-32,0.401330079858246,0.271,0.008,1.67493220940361e-28,7,"Plekha4"
"Cercam",1.33506409305429e-32,0.539212611896421,0.417,0.03,1.89966269800695e-28,7,"Cercam"
"Cavin1.3",2.04668370226955e-32,1.73622903057926,0.938,0.272,2.91222623995934e-28,7,"Cavin1"
"Chst12",4.0613147810943e-32,0.515346340149902,0.333,0.017,5.77884480201908e-28,7,"Chst12"
"Fgfr1.1",6.84741773509642e-32,1.12866445204057,0.792,0.147,9.74319069526869e-28,7,"Fgfr1"
"Megf9",8.95401560493952e-32,0.463964061368143,0.396,0.026,1.27406688042684e-27,7,"Megf9"
"Frmd6.1",1.73350082067752e-31,1.09277623129253,0.75,0.136,2.46659831774205e-27,7,"Frmd6"
"Man1c1",1.76850137364658e-31,0.554117259413733,0.396,0.027,2.51640060456171e-27,7,"Man1c1"
"Mmp3",2.56452496965916e-31,2.66090502956428,0.25,0.007,3.64906257932802e-27,7,"Mmp3"
"Gpc6",2.97686246167148e-31,0.544272021457813,0.292,0.012,4.23577759671235e-27,7,"Gpc6"
"Il6st.5",3.95477223290265e-31,1.48389145367221,0.854,0.22,5.62724541019718e-27,7,"Il6st"
"Dcbld2",7.41548297067217e-31,0.517691804885149,0.438,0.036,1.05514907189694e-26,7,"Dcbld2"
"Dkk3",8.53008336258439e-31,0.325262239516017,0.25,0.007,1.21374556166213e-26,7,"Dkk3"
"Gpsm3",9.6783469060158e-31,0.463437346831691,0.333,0.018,1.37713198125699e-26,7,"Gpsm3"
"Spsb1",1.16781228227673e-30,0.669694898330199,0.438,0.037,1.66168009645156e-26,7,"Spsb1"
"Fxyd5.2",1.38127451408354e-30,1.14645421265348,0.729,0.122,1.96541550608947e-26,7,"Fxyd5"
"Tacc1.1",1.65867861177321e-30,1.01768634080236,0.729,0.134,2.3601337966921e-26,7,"Tacc1"
"Ehd2",3.48059212346986e-30,1.06444338831405,0.688,0.117,4.95253453248526e-26,7,"Ehd2"
"Epb41l2.5",3.52117996262618e-30,1.38041676006379,0.875,0.228,5.01028696882079e-26,7,"Epb41l2"
"Pcsk5",4.68766676705615e-30,0.714756706179595,0.292,0.013,6.67008104284419e-26,7,"Pcsk5"
"Timp2.5",5.58097430971216e-30,2.27872645043151,1,0.6,7.94116834528943e-26,7,"Timp2"
"Plekho2",6.86651198896731e-30,0.618883944258312,0.354,0.023,9.77035990910159e-26,7,"Plekho2"
"Acadsb",1.04615659009754e-29,0.823381660679297,0.708,0.116,1.48857621204979e-25,7,"Acadsb"
"St6galnac6",1.1847747460573e-29,0.423723731198185,0.333,0.019,1.68581598616493e-25,7,"St6galnac6"
"Nfasc",1.28604155564939e-29,0.800603104049997,0.396,0.031,1.82990852953351e-25,7,"Nfasc"
